z153yi8,u5erb551yo,vbi5ustafos,v1sves1l,nj8d1js6mly,zw9u23wfoat,bslnykoygnx,ixet0uzuuoh,bcqe6tdkash,gnyebdyjsq,laedo3e,u3onbs8utn,910alza9eq,qvwwq8qe00,ykri3z1g,gds8lo,zy5q4ch85,snbu4rj,y02zr8iy,oep16bl,hvh8c4,fqs6141,vrhnlr48,v0zfxgo3xh8,47scottr,98nwv2,m8b70rwh
mc_ID_1350,"Married Female with four children, education: high school degree working as skilled manual",30K+,"Dairy from Dairy department, Ordered Brand : Gorilla",21.0771,18.17 kg,2.907200000000003,no,"['Ready Food', 'Bar For Salad', 'Coffee Bar', 'Video Store', 'Florist']",Roller Savings (High) ,gourmet,2.67 M,0.801 M,1424.85,2200.69,465.54,310.26,499.7265,cardoso ,SP,amount: -20.07337070860132,-49.91260766329853,bRasIlIA, DF,-15.656754584921352,data: -47.808582687413306,val: 4.0
mc_ID_1351,"Single Male with three children, education: partial high school working as skilled manual",30K+,"Fruit from Produce department, Ordered Brand : Tell Tale",30.3801,27.3275,3.052599999999998,yes,['Florist'],You Save Days,supermarke7,5.7 M,2.223 M,,2194.54,523.32,348.85,689.3663,_sao paulo,sp_,-23.666837080690684,-46.66437239509124,OSaSCO,SP,-23.552456794881493,-46.78012559033992,5.0
mc_ID_1352,"Married_Female_w/_three_children,_education:_Bachelors_degree_working_as_professional",50K+,"Meat from Deli department, Ordered Brand : Cutting Edge",val: nan,21.2225,,no,['Coffee Bar'],,Supermarket,5.97 M,1.9104 M,1238.65,1972.94,440.92,,364.1649,Porto Alegre,RS,-30.02159907383571,-51.178723476398005,Ribeirao Preto,SP,-21.152969235356927,amount: -47.77227625506376,val: 5.0
mc_ID_1353,Married Female with one child and education: bachelors degree working as professional,50K or more,"Dairy from Dairy department, Ordered Brand : Booker",31.543,28.6358,2.9072,no,"['Florist', 'Ready Food', 'Coffee Bar', 'Video Store', 'Bar For Salad']",Save Price,Deluxe,$9.66 M,3.0912 M,1736.78,2573.89,503.07,333.47,419.9167,lagoa da prata,MG,data: -20.022568491315106,-45.54469897672237,petropolis,Rj,-22.549033360244323,-43.210094724044055,5.0
mc_ID_1354,Married Female with four children / education: partial high school working as skilled manual,$10K+,"Fruit from Produce department, Ordered Brand : Hermanos",9.8699,6.9482,measure: 2.9216999999999995,no,"['Bar For Salad', 'Coffee Bar', 'Ready Food', 'Florist']",Sale : Double Down,Deluxe,15.76 M,6.9344 M,,3145.5,,436.09,500.7202,RIACHINHO,MG,amount: -16.223266212215982,-45.997340336760026,ASSIS,SP,-22.6796532539352,val: -50.44287891853987,5.0
mc_ID_1355,"Single Male with one child, education: partial high school working as manual",10K+,"Pure Juice Beverages from Beverages department, Ordered Brand : Fabulous",8.7216,5.8144,2.9072000000000005,yes,['Florist'],Roller Savings (High) ,Supermarket,8.55 M,2.907 M,,2188.7,523.32,349.01,532.6232,salvador,BA,measure: -12.9668746207144,-38.462215490099865,sao paulo,$P,-23.45852627699232,-46.62665931349181,5.0
mc_ID_1357,"Married Female with four children, education: high school degree working as professional",110 Thousand,"Snack Foods from Snack Foods department, Ordered Brand : Nationeel",,24.4204,,yes,"['Ready Food', 'Coffee Bar', 'Bar For Salad', 'Florist']",Two for One, Deluxe ,12.8 M,5.504 M,2055.29,3145.66,656.13,437.45,312.9109,Ouro Branco,MG,val: -20.532664687290943,data: -43.71623161225068,BELO HORIZONTE,MG,-19.91624655709342,-43.93623364096637,5.0
mc_ID_1358,"Marriied Female with five children, education: high school degree working as professional",150K+,"Bathroom Products from Health and Hygiene department, Ordered Brand : Bird Call",20.9317,amount: 16.4256,4.5061,yes,"['Bar For Salad', 'Ready Food', 'Coffee Bar', 'Florist']",Sale : Double Down,Deluxe,11.04 M,5.2992 M,TBD,3145.95,654.13,435.41,500.7202,petrolina,PE,-9.39083242853022,-40.50556809146507, Santo Andre ,SP,data: -23.665703457960586,-46.51808196779969,4.0
mc_ID_1362,"Single Female with three children, education: high school degree working as manual",30K+,"Snack Foods from Snack Foods department, Ordered Brand : Horatio",-15.4081,12.5009,2.9072,yes,"['Ready Food', 'Florist', 'Bar For Salad', 'Video Store', 'Coffee Bar']",Two for One,Gourmet,7.8 M,3.12 M,1424.85,2205.59,465.54,,data: 360.7131,SAO PAUlo,SP,-23.5706181335045,-46.50933181986844,MoNTe sIAo,MG,-22.42880507067007,-46.569550269431765,2.0
mc_ID_1363,"Single Female with two children, education: partial college working as professional",30K+,"Dairy from Dairy department, Ordered Brand : Gorilla",12.4718,9.5501,2.9216999999999995,yes,[],Price Destroyers,Mid-Size,$8.88 M,3.2856 M,2085.67,3391.8,,522.49,val: 503.0214,campinas,sp,-22.88255076242137,data: -47.04691965736627,SOrOCABa,SP_,-23.42932935268456,-47.50644636159242,4.0
mc_ID_1365,Married Female with three children | education: high school degree working as professional,70K+,"Canned Soup from Canned Foods department, Ordered Brand : Blue Label",28.6358,27.1822,1.453599999999998,no,"['Ready Food', 'Florist', 'Bar For Salad', 'Coffee Bar']",Best Price Savers,Gourme7,6.99 M,3.2154 M,1565.49,2211.06,385.45,256.97,measure: 558.1979,porto alegre,rS,amount: -30.02967049428719,amount: -51.181592520687786,SAO PAULO,SP,-23.62358155176294,-46.61056007369148,5.0 stars
mc_ID_1367,"MARRIED MALE WITH TWO CHILDREN, EDUCATION: HIGH SCHOOL DEGREE WORKING AS MANUAL",Income: 30K+,"Candy from Snacks department, Ordered Brand : Musial",19.6235,18.1699,-1.4536000000000016,no,['Florist'],You Save Days,SUPERMARKET,3.92 M,1.6856 M,1320.15,,523.32,348.85,data: 689.3663,itapoa,Sc,-26.069942999999945,data: -48.63236299999997,sao pau1o,Sp,-23.62358155176294,data: -46.61056007369148,5.0
mc_ID_1368,"Married Female with two children, education: partial high school working as skilled manual",10K or more,"Vegetables from Frozen Foods department, Ordered Brand : Big Time",-27.4729,22.9668,4.5061,yes,"['Bar For Salad', 'Video Store', 'Ready Food', 'Florist', 'Coffee Bar']",Dimes Off,Deluxe,2.76 M,1.3524 M,2038.11,2838.07,481.98,321.26,602.7575,porangatu,GO,data: -13.455341522938244,-49.144700706302814,ibltinga, SP,-21.7664768468313,-48.83154737836604,val: 4.0
mc_ID_1371,"Married Female with one child, education: bachelors degree working as professional",70K or more,"Meat from Frozen Foods department, Ordered Brand : Carrington",14.4196,12.966,1453.60 grams,yes,[],Promo Big,"Supermarket
",$2.79 M,1.2555 M,2049.72,2816.02,457.36,,515.2596,pOrto AlegrE,RS,-30.15709837996993,-51.21783645920132,FRANC4,SP,-20.50234199999999,-47.4215895,1.0
mc_ID_1372,"Single Male with No children, education: partial high school working as professional",150000,"Cold Remedies from Health and Hygiene department, Ordered Brand : Steady",31.6883,30.0894,1.5989000000000004,yes,"['Ready Food', 'Florist', 'Coffee Bar', 'Video Store', 'Bar For Salad']",GLD,Deluxe,€6.0M,2.59 M,1873.72,2861.13,593.93,394.7,484.1411,osasc0,sp,-23.585668711350923,-46.81450391286273,ribeirao plres,SP,-23.676027730141065,-46.34579957525459,5.0
mc_ID_1373,"Single Female with four children, education: bachelors degree working as professional",50K+,"Candy from Snacks department, Ordered Brand : Musial",14.972,10.6112,4.360799999999999,no,"['Ready Food', 'Coffee Bar', 'Bar For Salad', 'Florist']",Full Free,Deluxe,12.56 M,6.0288 M,2055.29,3145.51,654.13,436.09,570.3838,PETROPOLIS,RJ,-22.533968891214723,-43.2023689893726,sao paulo,sp,-23.554079433810344,-46.53324185942636,3.0
mc_ID_1375,"Single Male with one child, education: partial high school working as skilled manual",10 Thousand,"Vegetables from Frozen Foods department, Ordered Brand : Imagine",25.5832,,,yes,[],Price Winners,,1.02 M,0.306 M,2049.72,2811.99,459.36,303.31,599.358,mogi das cruzes,SP,-23.5214492199589,-46.17673150042012,C@Mpinas,SP,-22.90081444463038,-46.99864279239999,1.0
mc_ID_1377,Married Female with three children | education: graduate degree working as management,130K+ annually,"Carbonated Beverages from Beverages department, Ordered Brand : Skinner",12.0794,10.6258,1.4535999999999998,yes,[],Super Duper Savers,Supermarket,€6.2M,3.1562 M,2049.72,2813.4,457.36,303.86,527.7593,goiania,GO,-16.74549420425504,-49.34013300000001,itaquaquecetuba,SP,amount: -23.43567309991361,-46.38032799842931,5.0
mc_ID_1379,"Single Male with one child, education: high school degree working as professional",110K+,"Meat from Deli department, Ordered Brand : Red Spade",data: 8.9396,6.0324,2.9072000000000005,no,['Coffee Bar'],Pick Your Savings,Supermarket,$7.44 M,3.1992 M,1236.07,1972.47,440.92,293.95,436.7573,fortaleza,CE,-3.723440428156569,-38.47693909661432,petropolis,RJ,-22.549033360244323,val: -43.210094724044055,4.0
mc_ID_1380,"Single Female with four children, education: bachelors degree working as professional",50K+,"Baking Goods from Baking Goods department, Ordered Brand : Super",13.4312,10509.50 grams,2.9217000000000013,no,[],Super Duper Savers,Supermarket,"8.88 ,000,000",3.3744 M,2049.72,2811.99,457.36,,527.7593,nova bandeirantes,mt,-9.848480733941562,-57.81539553888728,sarand1,PR,-23.431481257369107,-51.85490851643521,3.0
mc_ID_1381,"Married Male with four children, education: High School degree working as skilled manual",Income: 30K+,"Vegetables from Produce department, Ordered Brand : Tri-State",18.606,17.1524,1.4536000000000016,no,"['Video Store', 'Bar For Salad', 'Florist', 'Coffee Bar', 'Ready Food']",Price Smashers,delUXE,5.24 M,2.1484 M,1526.02,2149.45,373.1,248.79,amount: 499.2035,NovA friBUrgO,RJ,-22.283748648826982,-42.5281905472635,fr0nteira,Mg,-20.28106922622964,-49.20926164154711,1.0
mc_ID_1382,"Single Male with three children, education: high school degree working as manual",50000,"Eggs from Eggs department, Ordered Brand : Jumbo",31.543,amount: 28.6358,2.9072,no,[],Save It (Sale),supermarket,4.26 M,1.3206 M,1623.48,,341.05,227.33,353.7049,kampos dos goytacazes,RJ,-21.758075963712617,-41.31263336665773,Araguari, MG,data: -18.65223568071188,-48.19343213192182,5.0
mc_ID_1383,"Married Female with one child, education: bachelors degree working as professional",130k,"Eggs from Eggs department, Ordered Brand : Urban",13.3876,-10.4804,2.9072000000000013,no,[],Price Slashers,Supermarket,2.62 M,1.048 M,1508.0,1887.7,227.8,151.9,351.456,DoUrado,$P,-22.11041683240867,-48.30935219804882,_maringa,Pr,-23.41000679702781,-51.88262571961486,1.0
mc_ID_1386,"Married Male with four children, education: high school degree working as manual",$30K+,"Candy from Snacks department, Ordered Brand : Musial",21.2225,18.3153,-2.9072,no,"['Florist', 'Coffee Bar', 'Ready Food', 'Bar For Salad']",Sale : Double Down,Deluxe,8.76 M,3.1536 M,2055.29,3148.2,,435.47,500.7202,brasilia,DF,-15.84494561197996,val: -47.98527498130505,Sao Paulo,SP,-23.577073040798663,-46.7199426382077,5.0
mc_ID_1387,"Single Female with two children, education: high school degree working as skilled manual",30K+,"Jams and Jellies from Baking Goods department, Ordered Brand : Landslide",13.6056,10.6839,2.9217000000000013,yes,"['Bar For Salad', 'Coffee Bar', 'Ready Food', 'Florist', 'Video Store']",Lottery Cash Registerion, Deluxe,2.78 M,1.251 M,1737.06,2574.01,503.07,335.38,290.7357,belo horizonte,MG,-19.941422270327216,-43.932338543308816,IBITINGA,SP,-21.7664768468313,-48.83154737836604,4.0
mc_ID_1388,"Married Female with three children, education: high school degree working as skilled manual",30K+,"Hot Beverages from Beverages department, Ordered Brand : Landslide",,12.1956,,no,"['Ready Food', 'Coffee Bar', 'Florist', 'Video Store', 'Bar For Salad']",One Day Sale, Deluxe ,1.92 M,0.9024 M,,2841.35,481.98,,R$4220.40,ITAJAI,SC,-26.87764172364386,-48.70544081597868,maringa,PR,-23.437975269077903,-51.91385959802448,5.0
mc_ID_1390,"Married Male with three children, education: partial high school working as skilled manual",10K+,"Eggs from Eggs department, Ordered Brand : Giant",data: 27.3275,,,no,[],Go For It,Supermarket,$11.52 M,4.8384 M,2050.03,2809.47,457.36,304.91,525.8765,	Sao Paulo,5p,data: -23.65306602331352,data: -46.74602714141034,	sao paulo,SP,-23.556926913670807,-46.6615417904381,3.0
mc_ID_1391,"Married Female with one child, education: partial college working as professional",30K+,"Bread from Baked Goods department, Ordered Brand : Great",12.3555,10.9019,1.4535999999999998,no,"['Florist', 'Ready Food', 'Coffee Bar', 'Bar For Salad']",Dollar Days,Deluxe,"14.96 ,000,000",6.5824 M,2055.29,3148.52,654.13,436.09,725.9763,santa maria_,Rs,-29.68699082041672,-53.81325546364473,sao jOsE DoS cAmPos,$P,-23.221431461827063,-45.888163895493165,5.0
mc_ID_1392,"SINGLE MALE WITH ONE CHILD, EDUCATION: PARTIAL HIGH SCHOOL WORKING AS SKILLED MANUAL",10K+,"Breakfast Foods from Breakfast Foods department, Ordered Brand : Jeffers",,measure: 29.944,,yes,"['Florist', 'Ready Food', 'Video Store', 'Coffee Bar', 'Bar For Salad']",Two Day Sale,Deluxe,5.79 M,2.0265 M,-999,2843.51,483.98,321.26,495.7517,GUARANESIA,MG,-21.301371432971965,-46.798887440229024,guarulhos,Sp,val: -23.496488565250488,-46.54671310832206,data: 5.0
mc_ID_1393,"Single Female with five children, education: high school degree working as skilled manual",30K+,"Canned Soup from Canned Foods department, Ordered Brand : Blue Label",13.7801,27.14 lbs,-1.4681999999999995,yes,"['Video Store', 'Florist', 'Ready Food', 'Bar For Salad', 'Coffee Bar']",Lottery Cash Registerion,Deluxe,6.2 M,2.976 M,,2568.56,503.07,335.38,290.7357,sao paulo,SP ,-23.588342026102605,-46.61354545697578,poa,sP,amount: -23.522975748542905,-46.33702048557326,data: 4.0
mc_ID_1394,"mARRIED mALE WITH ONE CHILD, EDUCATION: hIGH sCHOOL DEGREE WORKING AS SKILLED MANUAL",50K+,"Vegetables from Canned Foods department, Ordered Brand : Bravo",23.5482,20.641,2.907200000000003,no,"['Bar For Salad', 'Florist', 'Coffee Bar', 'Ready Food']",Weekend Discount,Gourmet ,9.84 M,3.8376 M,1564.86,2207.28,385.45,256.97,470.177,ibi7inga,Sp,-21.7664768468313,data: -48.83154737836604,maringA,pr,val: -23.42831529103202,-51.89302878219085,5.0
mc_ID_1395,"Single Male with one child, education: partial high school working as manual",30K+,"Canned Soup from Canned Foods department, Ordered Brand : Bravo",8.9832,6.0615,2.9217000000000004,yes,"['Ready Food', 'Florist', 'Bar For Salad', 'Video Store', 'Coffee Bar']",Pick Your Savings,gourmet,$3.84 M,1.1904 M,1426.19,2200.69,465.54,308.39,351.7175,rio de jañeiro,RJ,-22.965370753534568,val: -43.696040961423016,jau,Sp,measure: -22.27568678711987,-48.542599749927895,5.0
mc_ID_1396,"Married Male with one child, education: partial high school working as skilled manual",30K+,"Magazines from Periodicals department, Ordered Brand : Gauss",,19.7689,-0.1,no,"['Florist', 'Coffee Bar', 'Video Store', 'Bar For Salad', 'Ready Food']",,_Gourmet,7.22 M,2.3104 M,1424.85,2195.87,465.54,310.3,amount: 281.4786,nova iguacu,RJ,-22.714897197527662,-43.43013522482777,ibitinga,SP,val: -21.7664768468313,-48.83154737836604,1.0
mc_ID_1397,"Single Female with two children, education: partial high school working as skilled manual",10000,"Fruit from Produce department, Ordered Brand : Tell Tale",,-1.0,,no,"['Bar For Salad', 'Florist', 'Ready Food', 'Coffee Bar']",,,5.73 M,1.9482 M,1564.86,2210.12,385.45,256.97,558.1979,jundiai,Sp,-23.207180112486483,data: -46.87693047864591,rolandi4,PR,-23.31259824896755,-51.36894941889966,5.0
mc_ID_1399,"Married Female with four children, education: high school degree working as skilled manual",30K+,"Vegetables from Frozen Foods department, Ordered Brand : Carrington",amount: 31.6883,28.6358,-999.0,yes,[],Sales Days,SUPERMARKET,10.84 M,5.2032 M,,2816.12,457.36,304.91,610.5502, Bauru ,Sp,measure: -22.34920673674664,data: -49.04109341945789,pedreira,SP,amount: -22.73824150585765,val: -46.8958585777586,4.0
mc_ID_1400,"Single Male with two children, education: bachelors degree working as professional",50 Thousand,"Bread from Baked Goods department, Ordered Brand : Sphinx",23.2575,20.3503,2.9072,yes,"['Ready Food', 'Bar For Salad', 'Florist', 'Coffee Bar']",Full Free,"Deluxe
",5.49 M,2.5254 M,2055.29,3150.32,654.13,436.09,measure: 288.5914,corumba_,MS,-19.01142346691339,-57.627198161198194,sao paulo,5P,-23.53108125950717,-46.51791357132556,5.0
mc_ID_1402,"Married Female with three children, education: graduate degree working as professional",90K+,"Meat from Deli department, Ordered Brand : Cutting Edge",31.8337,,,yes,[],GLD,SUPERMARKET_,5.28 M,2.0592 M,2051.82,2807.19,,306.05,R$3837.83,botucatu,SP,-22.885356846451742,-48.47764303000053,1PATINGA,MG,-19.4780955431646,-42.55679483097696,1.0
mc_ID_1404,married male with two children; education: high school degree working as manual,30K+,"Frozen Desserts from Frozen Foods department, Ordered Brand : Imagine",29.3626,26.4554,2.9072,no,[],--,Supermarket,€7.2M,4.245 M,1623.48,2192.48,343.05,229.32,data: 277.0331,piracicaba,sp,-22.67126597723474,-47.69675782988044,campinas,Sp,-22.895876357204664,-47.0791850342778,5.0
mc_ID_1407,"Single Male with one child, education: high school degree working as skilled manual",30K+,"Candles from Household department, Ordered Brand : Sunset",17.7338,13.3585,-0.1,yes,"['Ready Food', 'Bar For Salad']",Save Price,Supermarket,1.68 M,0.7224 M,2448.37,3237.06,470.27,313.55,406.4756,balneario  camboriu,sc,measure: -26.999696999999948,-48.63513949999995,sau paulo,SP,data: -23.554079433810344,-46.53324185942636,5.0
mc_ID_1408,"Married Female with two kidren, education: bachelors degree working as management",30K+,"Vegetables from Produce department, Ordered Brand : High Top",21.5132,,,no,[],Sales Days,"Supermarket
","3.96 ,000,000",1.8612 M,2049.72,2813.46,,304.91,R$3358.03,sao paulo,SP,-23.5944875783294,-46.679788357589,sao paulo,5p_,-23.48535959449485,-46.624283978908174,4.0
mc_ID_1409,"Married Male with three children, education: bachelors degree working as professional",110K+,"Canned Sardines from Canned Foods department, Ordered Brand : Just Right",10.0153,measure: 7.0935,2.9218,yes,[],Super Savers,Supermarket,€2.7M,1.3272 M,2050.42,2811.99,457.36,304.91,339.8977,sa0 paulo,SP,-23.670706610046736,amount: -46.66108764570951,SAO PAULO,SP,-23.554079433810344,-46.53324185942636,amount: 5.0
mc_ID_1411,"Married Male with one child, education: bachelors degree working as professional",50K+,"Snack Foods from Snack Foods department, Ordered Brand : Fast",17.8792,,measure: nan,yes,"['Video Store', 'Florist', 'Bar For Salad', 'Coffee Bar', 'Ready Food']",Roller Savings (High) ,,2.04 M,0.6528 M,1424.85,2198.28,465.54,310.3,499.7265,RIO DE JANEIRO,RJ,-22.91064096725142,-43.17650983181368,ilicinea,Mg,-20.944705621834668,-45.82709818233235,5.0
mc_ID_1412,"Married Male with two children, education: high school degree working as management",130k,"Beer and Wine from Alcoholic Beverages department, Ordered Brand : Good",13.5911,9.2303,4.360800000000001,no,['Coffee Bar'],Pick Your Savings,SUPERMARKET,4.36 M,1.3516 M,1236.07,1967.23,440.92,293.95,436.7573,sao paulo,sp,-23.567295210891167,-46.58710430333021,mogi das cruzes,SP,-23.551706513599484,-46.260979398542325,val: 5.0
mc_ID_1414,"Single Male with one child, education: HS degree working as manual",30K+,"Vegetables from Canned Foods department, Ordered Brand : Blue Label",-10.0443,5.669,4.3753,yes,['Coffee Bar'],Green Light Special,Small Grocery,5.98 M,2.9302 M,1423.37,,398.93,265.98,665.2037,bombinhas,Sk,-27.14294161449014,-48.50728684609616,salto,SP,-23.18458241445101,-47.328649797768485,5.0
mc_ID_1415,"Married Female with one child, education: high school degree working as manual",30K+,"Snack Foods from Snack Foods department, Ordered Brand : Fast",,,,no,"['Florist', 'Bar For Salad', 'Video Store', 'Coffee Bar', 'Ready Food']",,,11.34 M,4.6494 M,,2841.35,,,739.4174,teresina, PI ,-5.115634192749708,-42.71972351069029,sao bernardo do campo,SP,-23.693028139881143,-46.54695362280001,5.0
mc_ID_1416,"Single Male with two children, education: partial high school working as skilled manual",120+ monthly,"Beer and Wine from Alcoholic Beverages department, Ordered Brand : Walrus",13.6347,-0.1,val: 1.4535999999999998,yes,[],Go For It,Supermarket,6.87 M,3.0228 M,1510.87,1888.31,227.8,151.9,€297.89,campinas,SP,-22.88093166586252,-47.068424969313,gUARIBA,SP,measure: -21.36235769739203,-48.232975701561735,5.0
mc_ID_1418,"Married Female with five kids, education: partial high school working as professional",,"Vegetables from Canned Foods department, Ordered Brand : Pleasant",16.7163,12.3555,4.360800000000001,no,"['Ready Food', 'Video Store', 'Coffee Bar', 'Florist', 'Bar For Salad']",Price Cutters,Gourmet,15.88 M,7.7812 M,1426.86,,465.54,309.49,675.716,5ao paulo,$p,-23.754657436580302,-46.6971784679439,sao paulo,SP,-23.59798552039933,-46.55547278711988,5.0
mc_ID_1419,Married Female with five children / education: high school degree working as skilled manual,30K+,"Meat from Deli department, Ordered Brand : Moms",-17.8792,16.4256,-1.4536000000000016,no,"['Bar For Salad', 'Florist', 'Coffee Bar', 'Ready Food']",Save Price,Deluxe,9.08 M,3.9952 M,2057.44,3142.69,654.13,435.44,584.191,sao paulo,SP,-23.5577699686364,-46.705380296699154,sao paulo,SP,-23.48668357540144,data: -46.46746268716547,5.0
mc_ID_1421,"Single Male with three children, education: bachelors degree working as professional",50K+,"Snack Foods from Snack Foods department, Ordered Brand : Fast",-24.5657,-21.5132,3.0524999999999984,no,"['Bar For Salad', 'Ready Food']",Price Destroyers,Supermarket,"1.2 ,000,000",0.42 M,2265.9,3691.52,853.22,,data: 304.7521,palhoca,sk,-27.676190142586574,data: -48.63760744853509,Baependi, MG,-21.956309999999995,-44.882378788136165,5.0
mc_ID_1423,"Single Female with two kids, education: HS degree working as skilled manual",30K or more,"Fruit from Produce department, Ordered Brand : Ebony",amount: 17.007,,,no,"['Video Store', 'Florist', 'Bar For Salad', 'Ready Food', 'Coffee Bar']",Price Slashers,,2.76 M,0.828 M,1732.22,2572.86,503.07,,282.9953,barbacena,_MG,-21.232267920465752,-43.77002363272546,Borda Da Mata,Mg,-22.264093569966427,val: -46.15856420525942,3.0
mc_ID_1424,"Marrie Female with two children, education: partial high school working as skilled manual",10 Thousand,"Bathroom Products from Health and Hygiene department, Ordered Brand : Bird Call",-22.24,,,yes,"['Coffee Bar', 'Ready Food', 'Bar For Salad', 'Video Store', 'Florist']",Save Price,,8.79 M,4.1313 M,2038.11,2838.25,481.98,320.45,284.3028,rio de janeiro,"RJ
",-22.96616144434192,-43.18753952677599,uberlandia,MG,-18.925348871775626,-48.24236513543774,4.0
mc_ID_1427,"Married Female with one child, education: partial college working as management",30K+,"Fruit from Produce department, Ordered Brand : High Top",-24.7111,val: 20.3503,4.360799999999998,no,"['Ready Food', 'Coffee Bar', 'Video Store', 'Florist', 'Bar For Salad']",Three for One, deluxe,3.08 M,1.1088 M,,2864.75,593.93,396.12,688.3726,sao paulo,SP,-23.498826663338896,measure: -46.65249325867044,sao jose dos campos,SP,-23.18093790397594,-45.86936250721335,2.0
mc_ID_1428,"Single Male with two children, education: partial high school working as skilled manual",10K+,"Snack Foods from Snack Foods department, Ordered Brand : Fort West",29.2172,27.7636,1.453599999999998,no,[],Sales Days,Suparmarket,7.41 M,2.223 M,1623.48,2187.5,341.05,225.59,743.1307,alfenas,MG,-21.4228888193917,-45.9463673863649,ibitinga,sp,-21.7664768468313,-48.83154737836604,data: 5.0
mc_ID_1429,"Married Male with two children, education: high school degree working as skilled manual",30000,"Beer and Wine from Alcoholic Beverages department, Ordered Brand : Good",,8.8233,,yes,"['Bar For Salad', 'Ready Food']",,Supermarket,€6.6M,2.5806 M,2266.82,3685.77,853.22,568.75,val: 268.1421,usasco,SP,-23.55103301139162,-46.78430381825348,sao paulo,SP,measure: -23.6442788484621,-46.66304850360666,val: 1.0
mc_ID_1431,"Married Female with five children, education: partial High School working as skilled manual",30K or more,"Beer and Wine from Alcoholic Beverages department, Ordered Brand : Portsmouth",measure: nan,-16.1349,,yes,[],Budget Bargains,Mid-Size,10.8 M,3.996 M,2085.67,3391.8,783.64,524.25,546.0643,epucarana,PR,-23.57089171277503,-51.45720601453626,tabatinga ,sp,-21.72886646318172,-48.68881488220222,5.0
mc_ID_1433,"Married Female with four children, education: high school degree working as skilled manual",30K+,"Specialty from Produce department, Ordered Brand : Tell Tale",16.4256,13.5184,2.9072,no,[],Three for One,Mid-Size,8.55 M,3.249 M,2085.67,3391.8,785.64,522.49,measure: 570.5407,sao paulo,SP,-23.517930174303164,-46.66742959008009,ibitiñga,5P,-21.7664768468313,-48.83154737836604,4.0
mc_ID_1436,"Single Female with one child, education: bachelors degree working as professional",$70K+,"Bread from Baked Goods department, Ordered Brand : Sphinx",10.9746,8.0674,-2.9072000000000013,yes,"['Bar For Salad', 'Video Store', 'Coffee Bar', 'Florist', 'Ready Food']",Two Day Sale,Gourmet,"9.44 ,000,000",3.1152 M,,2200.69,467.54,310.3,588.4796,çampinas,SP,-22.90124134639356,measure: -47.05512845102415,campinas,sp,-22.88255076242137,-47.04691965736627,5.0
mc_ID_1437,"Single Male with one child, education: bachelors degree working as professional",50K+,"Baking Goods from Baking Goods department, Ordered Brand : Landslide",-1.0,13.5184,-1.0,yes,['Coffee Bar'],,Supermarket,3.04 M,1.368 M,,1966.7,440.92,293.95,720.5371,Rio De Janeiro,rj,-22.84519497945644,-43.30289927961805,campo grande,MS,val: -20.43684652070092,measure: -54.67593485958462,5.0
mc_ID_1438,Married Female with two children + education: bachelors degree working as management,50K+,"Candy from Snacks department, Ordered Brand : Musial",19.6235,,-1.0,no,"['Coffee Bar', 'Video Store', 'Ready Food', 'Florist', 'Bar For Salad']",Best Savings,Gourmet,2.94 M,1.4112 M,1423.87,2200.69,465.54,310.3,281.4786,rio de janeiro,RJ,-22.906162445467107,-43.56901475728546,CAMPO LIMPO PAULISTA,5P,amount: -23.20706431353269,val: -46.760735214610754,1.0
mc_ID_1439,"Married Male with two children, education: high school degree working as professional",130k,"Breakfast Foods from Frozen Foods department, Ordered Brand : Golden",,26.4554,,no,['Florist'],,supermarket,$8.1 M,3.726 M,1320.15,2191.85,523.32,350.13,640.7273,piedade dos gerais,Mg,-20.47336703132908,-44.232825807488496,ribeirao preto,SP,-21.17121748495008,-47.81941847157649,2.0
mc_ID_1442,"Single Female with No children, education: bachelors degree working as professional",50K+,"Hot Beverages from Beverages department, Ordered Brand : CDR",15117.40 grams,12.1956,2.9217999999999997,no,"['Florist', 'Coffee Bar', 'Bar For Salad', 'Ready Food']",Best Price Savers,gourme7,10.2 M,3.876 M,1564.86,2204.54,,,558.1979,curitiba,PR,val: -25.4254976297536,measure: -49.26880418595993,jac4rei,SP,-23.29818595956356,-45.974828011182304,4.0
