Unnamed: 0,personDescription,min._yearly_income_info,data_customer_order,grossWeight,netWeight,is_recyclable?_field,additional_features_in_market_measure,PN,SK,store_sales,SC,GA,Store Area,field_frozen_area,field_meat_area,metric_cost,customer_city,CUS56,customer_lat,var_customer_lng,field_seller_city,seller_state,seller_lat_metric,seller_lng,REV54
mc_ID_11745,Single Male with three children + education: bachelors degree working as professional,50 Thousand,"Bathroom Products from Health and Hygiene department, Ordered Brand : Hilltop",19.0421,14.6813,no,"['Ready Food', 'Bar For Salad', 'Florist', 'Coffee Bar']",Roller Savings (High) ,Gourmet,4.47 M,1.3857 M,1566.86,2211.99,385.45,257.63,637.6939,caMpo ERE,sC,-26.39359270318612,-53.08265733215715,maringa,pr,-23.437975269077903,-51.91385959802448,1.0
mc_ID_11747,"Married Female with one child, education: partial high school working as manual",10K+,"Vegetables from Frozen Foods department, Ordered Brand : Golden",21.2225,,yes,['Coffee Bar'],Discount Frenzy,,8.88 M,4.3512 M,1237.2,1970.94,440.92,293.95,val: 760.4943,SAO PAULO,$P,-23.74981810254469,-46.69876375197105,BRUSQUE,SC,-27.14105704919435,-48.96146112936535,3.0
mc_ID_11749,"Single Male with five children, education: partial high school working as skilled manual",10K+,"Dairy from Dairy department, Ordered Brand : Gorilla",,14.6813,yes,[],Price Winners,Supermarket,17.95 M,7.3595 M,1623.48,2195.29,,226.24,586.7537, belo horizonte,mG,amount: -19.91690663641869,-44.00258750903103,sao paulo,sp,-23.59798552039933,-46.55547278711988,3.0
mc_ID_11750,"Single Female with one child, education: partial high school working as skilled manual",10K+,"Pizza from Frozen Foods department, Ordered Brand : Imagine",23.5482,22.0946,yes,"['Bar For Salad', 'Ready Food']",Three for One,Supermarket,8.1 M,3.726 M,2448.37,3232.19,470.27,,656.2604,curitiba,	PR,-25.43910656148645,-49.23689875714125,SaO pAUlo,SP,-23.615020791563268,measure: -46.47934165652957,amount: 1.0
mc_ID_11752,"Marrie Male with No children, education: High School degree working as skilled manual",30 Thousand,"Baking Goods from Baking Goods department, Ordered Brand : Super",,11.4688,no,['Coffee Bar'],,Supermarket,€3.4M,1.9404 M,1237.21,1966.8,440.92,292.73,measure: 364.1649,Barueri,5P,-23.505089673519063,-46.809600405339054,5ao paulo,SP,-23.485253731057767,-46.73312974854289,4.0
mc_ID_11756,"Single Male with three children, education: partial HS working as manual",10K+,"Kitchen Products from Household department, Ordered Brand : Denny",,-15.6988,yes,['Florist'],,Supermarket,11.4 M,3.648 M,1320.15,2193.89,523.32,347.33,val: 564.2647,Santo aÑDRe,SP,-23.726298153211346,-46.48453208436728,4raras,SP,-22.357155798358097,-47.4052921218512,1.0
mc_ID_11759,Married Female with one child; education: high school degree working as manual,30K+,"Baking Goods from Baking Goods department, Ordered Brand : Landslide",measure: 23.1121,val: nan,yes,"['Video Store', 'Bar For Salad', 'Florist', 'Ready Food', 'Coffee Bar']",Save It (Sale),Gourmet,€3.6M,1.3268 M,1425.63,2203.69,465.54,311.23,427.7617,sao bernardo do campo ,$p,-23.69676708964741,data: -46.571862503895126,hortolandia,SP,-22.887514996879027,-47.19573904628551,1.0
mc_ID_11760,"Single Female with four children, education: bachelors degree working as professional",70 Thousand,"Bathroom Products from Health and Hygiene department, Ordered Brand : Consolidated",-23.9843,19.6235,yes,"['Florist', 'Coffee Bar', 'Ready Food', 'Bar For Salad', 'Video Store']",Dimes Off,deluxe,3.78 M,1.2096 M,,2844.15,481.98,319.78,550.6144,agua comprida,MG,data: -20.05738292084917,-48.11061678343788,sao paulo,sp,measure: -23.65111484251016,-46.75521082321932,4.0
mc_ID_11761,Married Male with No kidren; education: HS degree working as professional,Income: 150K+,"Fruit from Produce department, Ordered Brand : Hermanos",30.9615,27.909,no,"['Bar For Salad', 'Ready Food', 'Florist', 'Video Store', 'Coffee Bar']",Saving Days,Gourmet,6.68 M,2.004 M,1424.85,2205.48,465.54,310.93,R$1930.42,	porTo segURO,BA,data: -16.44446967266491,-39.06166956260506,franca ,SP,-20.50234199999999,-47.4215895,1.0
mc_ID_11762,"Single Male with one child, education: graduate degree working as management",90K+,"Bathroom Products from Household department, Ordered Brand : Cormorant",13.1114,10.2042,yes,"['Bar For Salad', 'Florist', 'Coffee Bar', 'Ready Food']",Dollar Days,dElUxE,7.02 M,2.7378 M,,3145.51,654.13,436.09,725.9763,paraiso do norte,PR,-23.283332085984306,-52.60102263475902,araguari,Mg,-18.643784093954583,-48.20804381879092,5.0
mc_ID_11763,"Single Female with five children, education: high school degree working as manual",30K+,"Baking Goods from Baking Goods department, Ordered Brand : CDR",26.0193,24.4204,no,"['Florist', 'Bar For Salad', 'Ready Food', 'Video Store', 'Coffee Bar']",Two for One,Deluxe_,4.56 M,1.5048 M,,2843.16,481.98,321.26,358.9349,SALVADOR,BA,-12.89000245694849,-38.40072523449346,ponte nova,MG,-20.415339248383304,-42.89153741877715,measure: 3.0
mc_ID_11765,"Married Female with two kids, education: high school degree working as skilled manual",50K+,"Dairy from Dairy department, Ordered Brand : Even Better",-1.0,28.6358,no,"['Ready Food', 'Florist', 'Bar For Salad', 'Coffee Bar', 'Video Store']",Price Destroyers,Deluxe,$3.45 M,1.518 M,2038.11,2838.76,,322.81,val: 777.2826,belo horizonte,MG,-19.92617665751052,-43.9900225881182,sao paulo,SP,-23.55487039661836,-46.5943762934965,data: 1.0
mc_ID_11768,"Maried Female with three children, education: partial high school working as professional",€110K+,"Cleaning Supplies from Household department, Ordered Brand : Sunset",30.5255,26.1647,no,"['Coffee Bar', 'Bar For Salad', 'Florist', 'Ready Food']",Weekend Discount,Gourmet,1.66 M,0.5146 M,1562.79,2207.28,385.45,257.59,amount: 470.177,"Botucatu
",SP,-22.890494208440284,measure: -48.44482949727183, santo andre,SP,amount: -23.665703457960586,-46.51808196779969,5.0/5.0
mc_ID_11769,"Married Male with two children, education: partial college working as professional",90K+,"Miscellaneous from Checkout department, Ordered Brand : Queen",19.7689,16.8617,yes,"['Florist', 'Bar For Salad', 'Video Store', 'Coffee Bar', 'Ready Food']",GLD,dELuxE,€7.2M,4.0608 M,1872.5,2862.23,,395.95,484.1411,bras1lia,DF,val: -15.687127618933868,measure: -47.8263635190533,ribeirao preto_,_$P,-21.116471333054424,-47.79073400291418,5.0
mc_ID_11770,"Married Male with two children, education: high school degree working as skilled manual",30K+ annually,"Bathroom Products from Health and Hygiene department, Ordered Brand : Steady",19.9142,15.4081,yes,"['Bar For Salad', 'Florist', 'Ready Food', 'Coffee Bar', 'Video Store']",Money Savers,Deluxe,2.28 M,0.8436 M,1871.16,2865.44,593.93,395.76,$343.61,sao bernardo do campo,SP,-23.699353075768943,-46.5600310818858, sAO PAuLO,SP,-23.522790877315536,-46.53604251012755,2.0
mc_ID_11771,"Married Male with two children, education: graduate degree working as management",70K+,"Jams and Jellies from Baking Goods department, Ordered Brand : BBB Best",11.12,6.7592,yes,[],Sales Days,Supermarket,5.92 M,2.6048 M,2048.02,,457.36,304.91,610.5502,jequie,BA,-13.860650975558046,-40.06849338679207,tubarao,SC,-28.46951928224586,data: -48.99324969252177,4.0
mc_ID_11772,"Married Male with two children, education: high school degree working as skilled manual, Married Male with two children",30K+,"Beer and Wine from Alcoholic Beverages department, Ordered Brand : Good",10.0153,8.5471,no,['Florist'],Save It (Sale),supermarket,6.48 M,2.7864 M,1320.15,2192.32,523.32,,€363.60,sao paulo,SP,-23.60666796364473,-46.70928249512391,campinas,SP,data: -22.917053295025724,-47.061757854838746,4.0
mc_ID_11773,"Single Female with one child, education: partial HS working as manual.",10K+,"Fruit from Produce department, Ordered Brand : High Top",,14.2452,yes,"['Florist', 'Coffee Bar', 'Bar For Salad', 'Video Store', 'Ready Food']",,Deluxe,11.04 M,4.3056 M,1731.56,,503.07,335.38,282.9953,conselheiro lafaiete,MG,-20.653541574550808,-43.79083732604181,itatiba,$P,-23.005474434298936,-46.84112811740003,4.0
mc_ID_11774,"Married Male with three children, education: partial high school working as skilled manual",10K+,"Cleaning Supplies from Household department, Ordered Brand : Cormorant",28.4904,24129.60 grams,no,['Coffee Bar'],Weekend Discount,sUPERMArKeT,3.84 M,1.5744 M,1236.86,1975.45,440.92,292.44,364.1649,vargem,sp,-22.90321267809593,-46.38232959310745,sao PaUlo,SP,-23.48615388842405,-46.71456818137228,1.0
mc_ID_11775,"Married Male with three children, education: partial high school working as skilled manual",10K+,"Meat from Deli department, Ordered Brand : Cutting Edge",9.9716,7.0645,yes,[],Sales Days,SUPERMARKET,6.99 M,2.097 M,2049.72,2812.5,457.36,306.63,610.5502,pap4gaios,MG,-19.44022546096705,-44.752428646173385,sao paulo,SP,-23.62358155176294,-46.61056007369148,1.0
mc_ID_11776,"Single Male with four children, education: partial high school working as skilled manual",10k,"Cold Remedies from Health and Hygiene department, Ordered Brand : Bird Call",25.1472,,no,[],Budget Bargains,,$5.78 M,2.1964 M,,3390.88,783.64,522.49,546.0643,	sao paulo,SP,-23.55951039494492,-46.66706390175425,sao paulo,SP,-23.555682314184303,-46.63309991286275,3.0
mc_ID_11779,"Single Female with four children, education: bachelors degree working as management",50K+ annually,"Dairy from Dairy department, Ordered Brand : Club",25.874,22.8214,yes,"['Bar For Salad', 'Ready Food']",Super Duper Savers,sUP3RmaRket,10.28 M,3.9064 M,2265.9,3687.88,853.22,,677.285,vitoria,ES,val: -20.258838451007023,-40.29431343326209,monte siao,MG,-22.42880507067007,-46.569550269431765,5.0
mc_ID_11780,"married male with three children, education: high school degree working as manual",30 Thousand,"Vegetables from Produce department, Ordered Brand : High Top",28.6358,27.1822,no,"['Ready Food', 'Bar For Salad']",Money Savers,Supermarket,$8.25 M,4.0425 M,,3688.0,853.22,568.75,432.0503,CONCORDIA,SC,-27.22653060850951,-52.02147812014162,cascavel,PR,-24.961400882504734,-53.45816618100577,1.0
mc_ID_11781,"Married Male with two children, education: partial college working as skilled manual",50K+,"Canned Anchovies from Canned Foods department, Ordered Brand : Pleasant",measure: 13.6928,-999.0,yes,"['Bar For Salad', 'Ready Food', 'Coffee Bar', 'Florist', 'Video Store']",Shelf Emptiers,,10.32 M,3.9216 M,1424.85,2196.35,465.54,310.3,564.2647,jaboatao dos guararapes,"Pe
",-8.107909195969679,-35.00556729785542,Campinas,SP,-22.85275770752771,-47.05510214136723,1.0
mc_ID_11782,"Single Male with three children, education: bachelors degree working as professional",50K+,"Plastic Products from Household department, Ordered Brand : Cormorant",24.8564,,yes,[],Save Price,,10.72 M,3.752 M,1508.0,,227.8,153.13,val: 428.0755,pirapora do bom jesus,sp,-23.4147842109558,-46.9744489453111,sañto andre,SP,-23.665703457960586,-46.51808196779969,3.0
mc_ID_11783,"Married Female with three children, education: Bachelors degree working as professional",70K+,"Vegetables from Produce department, Ordered Brand : Tri-State",-999.0,27.0368,yes,[],,SUPERMARKET,"8.84 ,000,000",3.4476 M,2049.72,2811.99,459.36,304.91,527.7593,rio 	de 	janeiro,RJ,-22.924709159377265,val: -43.62735147659086,garulhos,SP,-23.43410150291419,-46.55347243450285,5.0
mc_ID_11784,"Married Female with two children, education: high school degree working as skilled manual",30K+,"Starchy Foods from Starchy Foods department, Ordered Brand : Medalist",27.1822,24.275,yes,[],Two Day Sale,Mid-Size,5.56 M,2.6688 M,2085.67,3396.31,783.64,522.49,734.9719,brasilia_,Df,-15.832475819308588,-48.01033388194513,praia 	grande,sp,-24.011288218359883,-46.41873374429398,1.0
mc_ID_11785,"Single Female with two children, education: high school degree working as manual",30K+,"Canned Soup from Canned Foods department, Ordered Brand : Bravo",9.3175,7.8494,no,"['Ready Food', 'Florist', 'Bar For Salad', 'Video Store', 'Coffee Bar']",Lottery Cash Registerion,DEluxE,9.96 M,3.8844 M,1734.5,2568.92,503.07,336.32,500.9294,angra dos reis,RJ,-22.96950632736876,-44.30339692787364,bady bassitt,SP,-20.9245222402303,-49.45780155372428,5.0
mc_ID_11787,"Married Female wiht four children, education: bachelors degree working as professional",30K+,"Candy from Snacks department, Ordered Brand : Thresher",data: 10.4659,7.5441,no,"['Florist', 'Bar For Salad', 'Video Store', 'Coffee Bar', 'Ready Food']",I Cant Believe It Sale,Deluxe,3.62 M,1.6652 M,1734.5,2570.86,503.07,335.91,measure: 363.3281,sao paulo,SP,-23.57905316467664,-46.769003873293386,sao paulo,SP,val: -23.54279940605341,-46.595165217323526,4.0
mc_ID_11789,"Married Female with one child, education: partial high school working as manual",10K+,"Jams and Jellies from Baking Goods department, Ordered Brand : Super",24.1296,amount: 21.2225,no,['Coffee Bar'],Promo Big,Supermarket,5.04 M,1.5624 M,1239.03,,440.92,293.95,647.8924,sao jose,$C,data: -27.568918660944803,-48.6332460149761,CAskAVEl,Pr,-24.966371460470743,val: -53.46488320191585,3.0
