field_unnamed:_0,field_person_description,min__yearly_income,customer_order,is_recyclable?,additional_features_in_market,field_promotion_name,store_kind,store_sales,store_cost,grocery_area,store_area,frozen_area,meat_area,cost,field_customer_city,customer_state,customer_lat,customer_lng,field_seller_city,seller_state,seller_lat,seller_lng,review_score,weights
mc_ID_10395,"Married Male with four children, education: partial high school working as manual",10K+,"Carbonated Beverages from Beverages department, Ordered Brand : Excellent",recyclable,"['Bar For Salad', 'Coffee Bar', 'Ready Food', 'Florist', 'Video Store']",Not Specified,Deluxe,5.24Ms,2.4628 Millions,,2572.86,503.07,334.51,290.7357,sao paulu,"Sp
",-23.56910958090484,-46.57235346003806,m@ringa,PR,val: -23.42880633856904,-51.97183135000928,5.0,"{'gross': val: 10.5822, 'net': 7.675}"
mc_ID_10396,"Single Male with four children, education: bachelors degree working as professional",70K+,"Canned Shrimp from Canned Foods department, Ordered Brand : Just Right",non recyclable,"['Ready Food', 'Bar For Salad', 'Coffee Bar', 'Video Store', 'Florist']",Shelf Clearing Days,Gourmet,6.22 Millions,2.2392 Millions,1424.85,2200.59,465.54,310.3,533.2508,cachoeiras de macacu,RJ,-22.46501185656128,-42.657960353794586,belo horizonte,MG,-19.921126734952896,-43.94119674937962,1.0,"{'gross': 20.2049, 'net': data: 18.606}"
mc_ID_10397,"Married Female with three children, education: partial college working as management",Income: 130K+,"Vegetables from Frozen Foods department, Ordered Brand : Golden",recyclable,"['Bar For Salad', 'Florist', 'Coffee Bar', 'Ready Food']",Promo Big,Deluxe,4.38 Millions,1.8396 Millions,2057.14,3145.5,654.13,436.09,267.3576,teresina,PI,-5.055889969866429,-42.76615847343458,5anto andre,SP,-23.68645557285476,-46.52061165889549,1.0,"{'gross': val: 17.2978, 'net': 14.376}"
mc_ID_10398,"Single Male with four children, education: high school degree working as professional",$110K+,"Frozen Desserts from Frozen Foods department, Ordered Brand : Golden",recyclable,"['Coffee Bar', 'Florist', 'Ready Food', 'Video Store', 'Bar For Salad']",Lottery Cash Registerion,Deluxe,€2.4M,1.2255 Millions,1735.48,2575.08,503.07,336.07,313.0678,bras1lia,df_,-15.84372601762118,-48.11611031164195,joinvill3,SC,amount: -26.270134671231133,-48.80876106346335,amount: 5.0,"{'gross': 14.2597, 'net': 12.8062}"
mc_ID_10399,"Single Female with one child, education: partial high school working as skilled manual",10K+,"Specialty from Produce department, Ordered Brand : Hermanos",recyclable,['Florist'],,Supermarket,10.17 Millions,3.2544 Millions,1322.92,2189.1,523.32,348.85,689.3663,DRACENA,_SP,-21.4988715,-51.53786099999999,sao paulo,$P,-23.59798552039933,-46.55547278711988,val: 5.0,"{'gross': 25.2925, 'net': 22.24}"
mc_ID_10401,"Married Male with one child, education: high school degree working as skilled manual",30k,"Vegetables from Produce department, Ordered Brand : Hermanos",recyclable,"['Florist', 'Video Store', 'Bar For Salad', 'Ready Food', 'Coffee Bar']",,Deluxe,€8.3M,3.7278 Millions,1525.28,2142.78,373.1,248.79,560.656,brasilia,DF,-15.74972997671513,-47.92717447281999,ribeirao preto,nil,-21.17121748495008,-47.81941847157649,4.0,"{'gross': -23.4028, 'net': 20.4957}"
mc_ID_10404,"Married Male with No children, education: bachelors degree working as professional",70K+,"Vegetables from Produce department, Ordered Brand : Hermanos",recyclable,"['Ready Food', 'Bar For Salad']",Save Price,Supermarket,$3.72 Millions,1.4136 Millions,2448.37,3232.19,470.27,314.82,406.4756,santa maria,RS,-29.672763490539225,-53.80435998702572,vicente de carvalho,SP,-23.939318620030072,-46.30539278864907,5.0,"{'gross': 26.6008, 'net': measure: 23.5482}"
mc_ID_10405,"Married Male with one child, education: partial high school working as skilled manual",120+ monthly,"Breakfast Foods from Frozen Foods department, Ordered Brand : Imagine",recyclable,['Coffee Bar'],Discount Frenzy,SmallGrocery,1.87 Millions,0.6171 Millions,2069.04,2622.82,332.83,220.55,570.2269, anapolis ,go,-16.372741046960908,-48.96469619050585,uberlandla,MG,-18.94141413405276,-48.33714543949449,5.0,"{'gross': 24.275, 'net': 21.3678}"
mc_ID_10406,"Married Female with No children, education: partial college working as management",30K+,"Jams and Jellies from Baking Goods department, Ordered Brand : Landslide",non recyclable,"['Florist', 'Bar For Salad', 'Coffee Bar', 'Ready Food', 'Video Store']",Lottery Cash Registerion,Deluxe,4.05 Millions,1.782 Millions,1735.01,2567.98,503.07,335.38,500.9294,ASSIS,5P,-22.649437267557254,-50.403976983899845,MARING4,PR,-23.377396999935016,-51.93100618003307,5.0,"{'gross': 26.7461, 'net': -999.0}"
mc_ID_10407,"Married Female with three children, education: partial college working as professional",30K+,"Hot Beverages from Beverages department, Ordered Brand : Landslide",non recyclable,,Budget Bargains,,6.39 Millions,3.0672 Millions,2049.72,2814.61,457.36,,708.665,ipiau,ba,-14.131133999999996,-39.73698674999999,sao pedro,SP,amount: -22.5567717701264,-47.91123662245614,1.0,"{'gross': 21.6585, 'net': data: 18.606}"
mc_ID_10409,"Married Male with three children, education: high school degree working as manual",30K+,"Dairy from Dairy department, Ordered Brand : Club",recyclable,"['Bar For Salad', 'Ready Food']",Super Duper Savers,Supermarket,3.34 Millions,1.4362 Millions,,3684.11,853.22,568.75,677.285,guarulhos,SP,data: -23.472999,-46.43944199999999,sao paulo,sp,-23.554079433810344,-46.53324185942636,5.0,"{'gross': 25.7286, 'net': 22.8214}"
mc_ID_10410,"Married Female with one child, education: bachelors degree working as professional",50K+ annually,"Fruit from Produce department, Ordered Brand : Hermanos",non recyclable,"['Bar For Salad', 'Ready Food']",Big Time Discounts,Supermarket,10.02 Millions,3.4068 Millions,2448.37,3233.47,470.27,314.62,measure: 501.9754,piracicaba,5P,-22.743289215101832,-47.571772395089134,Sao Bernardo Do Campo,SP,-23.71688471949829,-46.54199108267673,3.0,"{'gross': amount: 30.9615, 'net': 27.909}"
mc_ID_10412,"EDUCATION: PARTIAL COLLEGE WORKING AS CLERICAL, sINGLE mALE WITH nO CHILDREN",30K+,"Magazines from Periodicals department, Ordered Brand : Excel",non recyclable,"['Bar For Salad', 'Video Store', 'Coffee Bar', 'Florist', 'Ready Food']",, Deluxe ,$1.65 Millions,0.6105 Millions,1525.28,2144.53,373.1,,R$3974.75,sao paulo,SP,-23.5259237463212,-46.642131776011375,curitibe,PR,-25.42552957617298,-49.254479518177625,5.0,"{'gross': -30.5255, 'net': 27.6183}"
mc_ID_10414,"Married Female with three children, education: bachelors degree working as professional",$50K+,"Fruit from Canned Products department, Ordered Brand : Swell",recyclable,,,Supermarket,€4.2M,2.3472 Millions,2048.52,2807.62,457.36,304.91,325.6198,guaruja,SP,-23.97955012822438,-46.20319341923938,santa barbara d'oeste,SP,data: -22.75967282783305,-47.364736674563375,measure: 5.0,"{'gross': 22.24, 'net': 17.8792}"
